timestamp,angle_deg,parent_start_angle_deg,parent_end_angle_deg,trigger_combination,raw_triggers,result_status
2011-09-30 05:30:00,315.0,310.0,320.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-09-30 05:30:00,325.0,320.0,330.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_UNBOUNDED_WITHIN_GUARD
2011-09-30 05:30:00,335.0,330.0,340.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 05:30:00,345.0,340.0,350.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,55.0,50.0,60.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,105.0,100.0,110.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,115.0,110.0,120.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,125.0,120.0,130.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,135.0,130.0,140.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,RAY_UNBOUNDED_WITHIN_GUARD
2011-09-11 00:00:00,145.0,140.0,150.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,155.0,150.0,160.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,165.0,160.0,170.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,235.0,230.0,240.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,295.0,290.0,300.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,305.0,300.0,310.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,315.0,310.0,320.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,325.0,320.0,330.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,335.0,330.0,340.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-11 00:00:00,345.0,340.0,350.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,55.0,50.0,60.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,105.0,100.0,110.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,115.0,110.0,120.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,125.0,120.0,130.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,135.0,130.0,140.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,RAY_UNBOUNDED_WITHIN_GUARD
2011-09-30 11:30:00,145.0,140.0,150.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,155.0,150.0,160.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,165.0,160.0,170.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,235.0,230.0,240.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,295.0,290.0,300.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,305.0,300.0,310.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,315.0,310.0,320.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,325.0,320.0,330.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,335.0,330.0,340.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-09-30 11:30:00,345.0,340.0,350.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,55.0,50.0,60.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,105.0,100.0,110.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,115.0,110.0,120.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,125.0,120.0,130.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,135.0,130.0,140.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,RAY_UNBOUNDED_WITHIN_GUARD
2012-09-03 07:00:00,145.0,140.0,150.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,155.0,150.0,160.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,165.0,160.0,170.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,235.0,230.0,240.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,295.0,290.0,300.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,305.0,300.0,310.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,315.0,310.0,320.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,325.0,320.0,330.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,335.0,330.0,340.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2012-09-03 07:00:00,345.0,340.0,350.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,55.0,50.0,60.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,105.0,100.0,110.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,115.0,110.0,120.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,125.0,120.0,130.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,135.0,130.0,140.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,145.0,140.0,150.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,155.0,150.0,160.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,165.0,160.0,170.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,225.0,220.0,230.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,295.0,290.0,300.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,305.0,300.0,310.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,315.0,310.0,320.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,RAY_UNBOUNDED_WITHIN_GUARD
2011-11-14 17:30:00,325.0,320.0,330.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,335.0,330.0,340.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 17:30:00,345.0,340.0,350.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,55.0,50.0,60.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,105.0,100.0,110.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,115.0,110.0,120.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,125.0,120.0,130.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,135.0,130.0,140.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,RAY_UNBOUNDED_WITHIN_GUARD
2010-11-26 18:00:00,145.0,140.0,150.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,155.0,150.0,160.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,165.0,160.0,170.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,235.0,230.0,240.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,295.0,290.0,300.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,305.0,300.0,310.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,315.0,310.0,320.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,325.0,320.0,330.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,335.0,330.0,340.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2010-11-26 18:00:00,345.0,340.0,350.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,55.0,50.0,60.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,105.0,100.0,110.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,115.0,110.0,120.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,125.0,120.0,130.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,135.0,130.0,140.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,145.0,140.0,150.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE + PROBLEMATIC_ENDPOINT,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE;UNRESOLVED_NONCONVERGED_REENTRY_OR_GUARD_LIMITED_ENDPOINT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,155.0,150.0,160.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,165.0,160.0,170.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,225.0,220.0,230.0,BINDING_BUS_CHANGE,BINDING_BUS_CHANGE,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,295.0,290.0,300.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,305.0,300.0,310.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,315.0,310.0,320.0,BINDING_BUS_CHANGE + MECHANISM_CHANGE,BOUNDARY_MECHANISM_CHANGE;BINDING_BUS_CHANGE,RAY_UNBOUNDED_WITHIN_GUARD
2011-11-14 19:30:00,325.0,320.0,330.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,335.0,330.0,340.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
2011-11-14 19:30:00,345.0,340.0,350.0,RADIUS_DIFF_GT_10PCT,NORMALIZED_RADIUS_DIFFERENCE_GT_10_PERCENT,RAY_CERTIFIED_BOUNDARY
